suite_family,prior_regime,method,valid_count,mean_mse_betaX,median_mse_betaX,std_mse_betaX,mean_rmse_betaX,mean_mae_betaX,mean_r2_betaX,median_r2_betaX,mean_rank_mse_betaX,median_rank_mse_betaX
ood_primary,E,SVR,150,3.5174903280371193,3.000569191479765,2.6895424079621795,1.733623721801757,1.1431062989667908,0.6487733546729944,0.6554938384976967,7.433333333333334,7.5
ood_primary,E,XGBoost,150,3.5968765021637665,3.035478568164073,2.444834797688418,1.7829141155900463,1.3815169257426747,0.5983470200671451,0.6297046508267257,8.366666666666667,8.5
ood_primary,F,AutoGluon,150,0.1099268032952126,0.0914283367415678,0.0781193796315741,0.3119815543410272,0.25282440573370174,0.1905392915693325,0.0,3.493333333333333,3.0
ood_primary,F,CatBoost,150,0.23436638901802762,0.1879074374592033,0.1686367860641977,0.46579908734242215,0.37220758918374397,0.09438935543725557,0.0,6.453333333333333,7.0
ood_primary,F,DeepSetModel-MC,150,1.9115175667691042,0.0107748439747954,4.794226410793848,0.7208185614123476,0.6275636340486106,-0.028750596851466702,0.0,4.226666666666667,1.0
ood_primary,F,FixedRidgeLambda1,150,0.07418448563516893,0.06069386612358875,0.046667753640949675,0.2610081738252144,0.2131681908865018,0.197712164338754,0.0,2.493333333333333,2.0
ood_primary,F,KNN,150,0.7372337799233787,0.2228683042025209,1.5616086888065341,0.6822750172279755,0.5547490107890556,-0.06867966841124727,0.0,8.1,8.0
ood_primary,F,LightGBM,150,0.3759420355794727,0.34975019046538086,0.12965202404325554,0.6045669902991816,0.490472147942345,-0.20976963683861907,0.0,8.786666666666667,9.0
ood_primary,F,LinearRegression,150,0.07496785593865125,0.06046234472285335,0.04673759770983672,0.2624047358952939,0.21436783191661357,0.19490847455029148,0.0,3.2066666666666666,3.0
ood_primary,F,MLP,150,0.6714111091639751,0.638911132007411,0.22722539228510488,0.8087909998418167,0.6463083360902948,-0.7086720145107409,0.0,10.213333333333333,11.0
ood_primary,F,RandomForest,150,0.13814625185051863,0.1219225500910697,0.07334074876537557,0.36055218643540227,0.2877379605690569,0.19548038891980193,0.0,4.266666666666667,4.0
ood_primary,F,Ridge,150,0.07418448563516893,0.06069386612358875,0.046667753640949675,0.2610081738252144,0.2131681908865018,0.197712164338754,0.0,2.493333333333333,2.0
ood_primary,F,SVR,150,0.5031220191850637,0.15787409289331955,1.3557718829796932,0.5453417877224022,0.4349098263607048,0.09329311511322406,0.0,6.193333333333333,6.0
ood_primary,F,XGBoost,150,0.3584662349700602,0.32702487471638997,0.13516549840700798,0.589235851882269,0.46739635059869217,-0.14318599773788487,0.0,8.566666666666666,9.0
ood_primary,G,AutoGluon,150,1818.809823430853,4.51128197458778,21890.339344609365,6.959481491602155,3.3970994442190814,-70.41159361679973,0.37198372154387904,2.64,2.0
ood_primary,G,CatBoost,150,2349.996472102581,12.13918825024004,25943.55446009636,11.185908490602836,4.435721632840469,-115.83206178039023,-0.7936623502259991,5.3533333333333335,5.0
ood_primary,G,DeepSetModel-MC,150,558.4389832972894,12.77505635485974,4587.27505245933,6.8346627730885245,6.275247479831872,-25.073070562195866,-0.2176975984768873,5.28,5.0
ood_primary,G,FixedRidgeLambda1,150,18999.58588093594,9.744893422340752,168316.86649599764,23.385583444479902,18.731321099676467,-757.5615388060313,-0.47782771532481044,4.44,4.0
ood_primary,G,KNN,150,645.7660348379868,24.906509554693244,3337.069440908258,12.138666754569023,4.858066393045587,-210.30747477956032,-1.85622404445431,7.586666666666667,8.0
ood_primary,G,LightGBM,150,33670.364721197104,42.628219297875134,344713.74046776706,32.69756427942215,18.538785631916006,-1366.0624919950965,-5.517819418091502,8.7,9.0
ood_primary,G,LinearRegression,150,19294.193667949734,9.911920086395131,170896.63070075057,23.557352529718585,18.866124068839916,-769.185372351544,-0.49738509981463663,5.4,5.0
ood_primary,G,MLP,150,8554.023047931081,132.7437574691062,67596.93819168561,34.32862193977652,21.2876647453077,-591.5823897627665,-19.433915890698657,10.54,11.0
ood_primary,G,RandomForest,150,24590.38615072534,19.676284266336086,277126.2935388156,28.9031474462783,7.891704354540864,-1350.3727246829078,-1.6143986949779119,6.833333333333333,7.0
ood_primary,G,Ridge,150,18999.58588093594,9.744893422340752,168316.86649599764,23.385583444479902,18.731321099676467,-757.5615388060313,-0.47782771532481044,4.44,4.0
ood_primary,G,SVR,150,2.9004877678273333,1.8405370484151935,2.908451037587444,1.5398519862436317,1.1252058620324445,0.7011944802265665,0.7032018091269052,1.7266666666666666,1.0
ood_primary,G,XGBoost,150,230106.7617310689,18.211076775986335,2783337.73078146,58.66020960775241,11.407686045305939,-8764.448474069948,-2.412290103564433,7.5,8.0
ood_primary,H,AutoGluon,150,0.3995281386243081,0.3244772692106951,0.2815818347423233,0.6008995562192867,0.4514127210273449,0.9465469130997471,0.9627333656881405,3.1466666666666665,3.0
ood_primary,H,CatBoost,150,1.6773994785594362,1.4831846473045136,1.1086723984849982,1.2289792134295672,0.9508698109352929,0.7974640909164475,0.8367900766519192,5.6066666666666665,6.0
ood_primary,H,DeepSetModel-MC,150,10.923709882136125,9.261607592640388,7.130174648361923,3.121379131895421,2.514468392468622,-0.03433607809596222,-0.0163377632393564,10.893333333333333,11.0
ood_primary,H,FixedRidgeLambda1,150,0.07707951600543955,0.0699043504218521,0.04755297213836824,0.26374621310076746,0.2131083532113147,0.9894423866159727,0.9926529007885705,1.5266666666666666,2.0
ood_primary,H,KNN,150,3.0028539737593323,2.733559155199183,1.9384025534507603,1.638906920047413,1.2963024388597346,0.675464249062361,0.7032151400324718,8.92,9.0
ood_primary,H,LightGBM,150,1.806847605485771,1.598492712859337,1.1576227941715607,1.2857817119067712,1.0101223700516897,0.7665578455101344,0.8218845020834045,6.333333333333333,6.0
ood_primary,H,LinearRegression,150,0.07787423545323525,0.07013271891846104,0.046634897442768684,0.2656359299469002,0.21474554379963792,0.9893326569422243,0.9926365397305468,1.4733333333333334,1.0
ood_primary,H,MLP,150,0.7134945705908438,0.6693181499073559,0.2597335177897599,0.8323192997814611,0.6516835444925136,0.8201757055816817,0.9204440487225736,4.633333333333334,4.0
ood_primary,H,RandomForest,150,2.3923200235276605,2.008987246188879,1.8237734951497773,1.4485071838812182,1.138642644201426,0.7419002448466274,0.7642439878217689,7.3,7.0
ood_primary,H,Ridge,150,0.07707951600543955,0.0699043504218521,0.04755297213836824,0.26374621310076746,0.2131083532113147,0.9894423866159727,0.9926529007885705,1.5266666666666666,2.0
ood_primary,H,SVR,150,2.663228661473974,1.9549896896708527,2.448921438988244,1.4910545783492715,1.0451857982464974,0.7619335666587495,0.7752902302361182,7.26,7.0
ood_primary,H,XGBoost,150,2.8890619495006042,2.3747892519960985,2.087641547081646,1.6062465606869125,1.2712625551592254,0.6398374170118866,0.7163440208455083,8.906666666666666,9.0
primary,A,AutoGluon,150,0.3814061483844479,0.29374413863805154,0.2970699142611394,0.5878235842624315,0.4388745300332252,0.9554513312968215,0.959859020369833,3.0533333333333332,3.0
primary,A,CatBoost,150,1.9456396405225234,1.4403814675741096,1.6766874878620852,1.2962666982521707,0.9877285900317505,0.8119771450115806,0.8102533651221197,5.4,5.0
primary,A,DeepSetModel-MC,150,10.287487887568686,8.948402975473769,6.639843086867956,3.0602532619875404,2.4499010751061125,-0.03717566946445986,-0.0179840552279293,11.0,11.0
primary,A,FixedRidgeLambda1,150,0.08780453919021239,0.0727726498660915,0.05797266594287533,0.28033208004769883,0.22603850807642378,0.988293463704205,0.9909333775759902,1.4066666666666667,1.0
primary,A,KNN,150,3.6137124534465164,3.069833198881337,2.6909489862806635,1.78871110187781,1.4149866663992758,0.6432550670861644,0.6419736173506497,9.213333333333333,9.0
primary,A,LightGBM,150,1.98748042593813,1.6288617141392696,1.3121208788872385,1.3464749646484915,1.0523110375302929,0.7887413226411164,0.7989374864260427,6.18,6.0
primary,A,LinearRegression,150,0.08934200148104181,0.07657902371860985,0.059858259415302255,0.28228237559494773,0.22736974017090608,0.9881693490054012,0.990678898799283,1.6066666666666667,2.0
primary,A,MLP,150,0.7635878644116911,0.7197614717521074,0.2508293619745208,0.8631902447088879,0.6786240803007654,0.8901554656832796,0.9165402100644517,4.546666666666667,4.0
primary,A,RandomForest,150,3.0568098795377057,2.426392614240558,2.611499440460083,1.6192153389296304,1.282157747534546,0.7101665791903393,0.7114227296473394,7.8133333333333335,8.0
primary,A,Ridge,150,0.08780453919021239,0.0727726498660915,0.05797266594287533,0.28033208004769883,0.22603850807642378,0.988293463704205,0.9909333775759902,1.4066666666666667,1.0
primary,A,SVR,150,2.7149667224211282,1.967594867362656,2.5180018598065996,1.515052426244703,1.0676400036760185,0.750771321328585,0.7556734889911951,6.933333333333334,7.0
primary,A,XGBoost,150,3.4049329417152534,2.6618549538357064,2.7610763976876314,1.725674041091491,1.3625721496842589,0.6636276275661346,0.6658391231105523,8.846666666666666,9.0
primary,B,AutoGluon,150,0.36685256833020863,0.24831753914133287,0.35065334612082244,0.5586289717979247,0.4179112973415764,-10.256628729727343,0.9616443591526388,3.2733333333333334,3.0
primary,B,CatBoost,150,1.5896696304706825,0.668155749293896,2.3817076637250634,1.0555309375599706,0.762457526854906,-17.29637876606194,0.8778210880134805,5.713333333333333,5.0
primary,B,DeepSetModel-MC,150,13.069863852094795,6.688603855981862,16.39086962532015,3.041710839171102,2.43702459507587,-4.109334591070041,-0.0153035905615076,10.1,11.0
primary,B,FixedRidgeLambda1,150,0.07777618139643401,0.06660616095401176,0.04636693484886786,0.2667200525764955,0.21408846289456482,-8.014513049380101,0.9905126354983328,1.5533333333333332,1.5
primary,B,KNN,150,4.826806310981521,2.1962091491383964,7.052514434780259,1.8314838826548145,1.4517713827014402,-26.069664232810155,0.6282635359115987,9.473333333333333,10.0
primary,B,LightGBM,150,1.7831333086740753,0.978891537281542,2.1734529374200244,1.1772613696813259,0.8958753727487039,-32.67679865905113,0.8394782579906042,7.246666666666667,7.5
primary,B,LinearRegression,150,0.07851854411944524,0.0673493512772361,0.0462085895899012,0.268202102632965,0.21527551007306409,-8.098047240581769,0.990770481253483,1.7133333333333334,2.0
primary,B,MLP,150,0.7578413109635824,0.7213948044283336,0.27170489311715323,0.8578325952215613,0.6767697572969469,-71.02092166496948,0.8987886977250794,6.286666666666667,6.0
primary,B,RandomForest,150,1.8561591472953596,0.541706836141798,3.289625570102537,1.0625328843662025,0.8180464417515035,-10.475641920230487,0.8911104991594264,5.1866666666666665,5.0
primary,B,Ridge,150,0.07777618139643401,0.06660616095401176,0.04636693484886786,0.2667200525764955,0.21408846289456482,-8.014513049380101,0.9905126354983328,1.5533333333333332,1.5
primary,B,SVR,150,4.57780668717326,1.3325674737510984,8.906534860639777,1.6506987954082495,1.1910100574079794,-12.17241959576483,0.7377807201536257,8.253333333333334,9.0
primary,B,XGBoost,150,2.094555547275533,0.8692725082866373,3.2444946169690945,1.2122810756678166,0.9436071329818677,-26.525855064202965,0.8390887284572601,7.2,7.0
primary,C,AutoGluon,150,0.509989655596969,0.43156226715837503,0.29443965390789173,0.688596801178391,0.5307265327592123,0.9167622336676224,0.9404586931574719,2.9133333333333336,3.0
primary,C,CatBoost,150,2.001964529794641,1.5925907434883344,1.433833001021653,1.341701923637357,1.0319007712818085,0.7382483762488354,0.7698146106405467,5.32,5.0
primary,C,DeepSetModel-MC,150,8.949836364821465,7.731418527702932,5.8547795194853895,2.829667471044187,2.2821968807013104,-0.038370032603568006,-0.018741410189247652,10.78,11.0
primary,C,FixedRidgeLambda1,150,0.20777397373118825,0.17729238813278758,0.13646791073571354,0.434317976731149,0.34963766558026665,0.9613094123619925,0.9767079037064963,1.48,1.0
primary,C,KNN,150,3.4996504579311734,3.0282668686429024,2.2871698675101975,1.771067457566306,1.4007810642403289,0.5673293955354988,0.5866204789542021,8.593333333333334,9.0
primary,C,LightGBM,150,2.236504436873154,2.079185959886261,1.1795918958086742,1.449857409218568,1.1424952855515296,0.6586005035555464,0.7303443949108333,6.613333333333333,7.0
primary,C,LinearRegression,150,0.20920812673771444,0.17571982447281637,0.1365260697968607,0.435980993072972,0.35081564274607735,0.9611440813301431,0.9771585591245323,1.6666666666666667,2.0
primary,C,MLP,150,2.3650182690199197,2.1543856815726743,1.6082849037414857,1.4892898770406418,1.1316392309417822,0.4667603963193581,0.7256465612956704,6.886666666666667,7.0
primary,C,RandomForest,150,2.825294785798884,2.1653469573502564,2.2708775298097077,1.5596522363372434,1.2262855550574134,0.6522823027495739,0.6991364559504808,6.926666666666667,7.0
primary,C,Ridge,150,0.20777397373118825,0.17729238813278758,0.13646791073571354,0.434317976731149,0.34963766558026665,0.9613094123619925,0.9767079037064963,1.48,1.0
primary,C,SVR,150,2.497799506370002,1.8986289835099925,2.2032365448667792,1.4495499353642065,1.0430538043336641,0.7303846412004462,0.734786519549696,6.12,6.0
primary,C,XGBoost,150,3.7167785563832147,2.987769794656362,3.298946703050339,1.8021736167513345,1.3978429992929837,0.43836166329278076,0.5996569052629994,8.7,9.0
primary,D,AutoGluon,150,0.35648753365499886,0.3025294320903294,0.2301165516763329,0.5754350515569512,0.43285191964821107,0.9591596478692853,0.9647255133129421,3.06,3.0
primary,D,CatBoost,150,1.7951758952889278,1.4593489594480236,1.296563270543459,1.2593880772961947,0.9687866496512678,0.8262279364018577,0.8334978633401443,5.46,5.0
primary,D,DeepSetModel-MC,150,10.489173964344783,9.380554096508508,5.780274486206465,3.1131658339992243,2.5053804906466604,-0.03908943725510019,-0.0173288637553074,11.0,11.0
primary,D,FixedRidgeLambda1,150,0.08354486464539317,0.07254626120839561,0.047795656163547036,0.27769118767179723,0.22419990265580694,0.9899201608143892,0.9911172140900366,1.4066666666666667,1.0
primary,D,KNN,150,3.2399244031364076,3.0350680671549277,2.0921927857165534,1.7052858882782458,1.3544950131741222,0.6868395930661144,0.6909421035963698,9.0,9.0
primary,D,LightGBM,150,1.8155914951657997,1.6290730840569645,0.9856380775397643,1.2997465609576166,1.0210184100445285,0.808295806625535,0.8159858967485254,6.1466666666666665,6.0
primary,D,LinearRegression,150,0.08431330532645541,0.07365619439844565,0.04858726806644834,0.27893163269114285,0.22519330055087916,0.9897821547086056,0.9912364051660569,1.5933333333333333,2.0
primary,D,MLP,150,0.7293328266651031,0.7320176611203754,0.25159503863873645,0.841008283922367,0.6572867353805949,0.8961266923387751,0.9272323308061494,4.6866666666666665,4.0
primary,D,RandomForest,150,2.7060786789865587,2.2376107005975867,1.9194500861574948,1.5422424098253331,1.2175252459064876,0.7428510143142917,0.7492709809567619,7.733333333333333,8.0
primary,D,Ridge,150,0.08354486464539317,0.07254626120839561,0.047795656163547036,0.27769118767179723,0.22419990265580694,0.9899201608143892,0.9911172140900366,1.4066666666666667,1.0
primary,D,SVR,150,2.5073112024106434,2.0657440852122892,1.8944768876339197,1.4740335904532245,1.0487150526981623,0.7719601493528441,0.7846586266010003,7.193333333333333,7.0
primary,D,XGBoost,150,2.9648568070647903,2.623423584095705,1.8280902176452232,1.6382079501494933,1.2989217290357777,0.7026219817602393,0.7115019451097714,8.72,9.0
