suite_family,condition_name,condition_value,prior_regime,method,mean_rank_mse_betaX,median_rank_mse_betaX,win_rate_mse,top3_rate_mse,valid_count
ood_primary,n_train,174,E,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,174,F,CatBoost,6.166666666666667,6.5,0.0,0.0,6
ood_primary,n_train,174,G,CatBoost,6.0,6.0,0.0,0.0,3
ood_primary,n_train,174,H,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,175,G,CatBoost,2.3333333333333335,2.0,0.0,1.0,3
ood_primary,n_train,176,H,CatBoost,6.666666666666667,7.0,0.0,0.0,3
ood_primary,n_train,177,F,CatBoost,6.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,178,E,CatBoost,5.0,5.0,0.0,0.0,3
ood_primary,n_train,178,F,CatBoost,5.666666666666667,6.0,0.0,0.0,6
ood_primary,n_train,179,G,CatBoost,4.666666666666667,5.0,0.0,0.3333333333333333,3
ood_primary,n_train,179,H,CatBoost,5.666666666666667,6.0,0.0,0.0,6
ood_primary,n_train,180,E,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,181,E,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,182,F,CatBoost,5.0,5.0,0.0,0.0,3
ood_primary,n_train,182,G,CatBoost,3.3333333333333335,2.0,0.0,0.6666666666666666,3
ood_primary,n_train,182,H,CatBoost,4.666666666666667,5.0,0.0,0.0,3
ood_primary,n_train,185,G,CatBoost,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,186,E,CatBoost,6.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,189,G,CatBoost,7.333333333333333,7.0,0.0,0.0,3
ood_primary,noise_features,0,E,FixedRidgeLambda1,1.6466666666666667,2.0,0.42,1.0,150
ood_primary,noise_features,0,F,FixedRidgeLambda1,1.7,1.0,0.5266666666666666,0.9533333333333334,150
ood_primary,noise_features,0,G,FixedRidgeLambda1,3.2733333333333334,3.0,0.10666666666666667,0.62,150
ood_primary,noise_features,0,H,FixedRidgeLambda1,1.6933333333333334,2.0,0.38666666666666666,1.0,150
ood_primary,n_train,131,G,FixedRidgeLambda1,2.8333333333333335,2.0,0.3333333333333333,0.6666666666666666,6
ood_primary,n_train,134,E,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,134,F,FixedRidgeLambda1,1.6666666666666667,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,137,F,FixedRidgeLambda1,2.0,2.0,0.0,1.0,3
ood_primary,n_train,137,H,FixedRidgeLambda1,2.0,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,138,E,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,6
ood_primary,n_train,139,H,FixedRidgeLambda1,2.0,2.0,0.0,1.0,3
ood_primary,n_train,140,G,FixedRidgeLambda1,3.0,3.0,0.0,0.6666666666666666,3
ood_primary,n_train,142,F,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,142,G,FixedRidgeLambda1,2.0,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,142,H,FixedRidgeLambda1,1.1666666666666667,1.0,0.8333333333333334,1.0,6
ood_primary,n_train,143,E,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,143,G,FixedRidgeLambda1,3.6666666666666665,4.0,0.0,0.3333333333333333,3
ood_primary,n_train,144,G,FixedRidgeLambda1,5.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,145,F,FixedRidgeLambda1,1.0,1.0,1.0,1.0,3
ood_primary,n_train,145,G,FixedRidgeLambda1,4.0,5.0,0.0,0.3333333333333333,3
ood_primary,n_train,145,H,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,146,E,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,6
ood_primary,n_train,146,F,FixedRidgeLambda1,1.6666666666666667,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,146,H,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,147,E,FixedRidgeLambda1,1.8333333333333333,2.0,0.16666666666666666,1.0,6
ood_primary,n_train,147,F,FixedRidgeLambda1,2.3333333333333335,2.0,0.0,1.0,3
ood_primary,n_train,147,G,FixedRidgeLambda1,2.0,2.0,0.0,1.0,3
ood_primary,n_train,148,E,FixedRidgeLambda1,1.0,1.0,1.0,1.0,3
ood_primary,n_train,148,G,FixedRidgeLambda1,5.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,148,H,FixedRidgeLambda1,2.0,2.0,0.0,1.0,6
ood_primary,n_train,149,E,FixedRidgeLambda1,2.0,2.0,0.0,1.0,3
ood_primary,n_train,149,F,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,149,G,FixedRidgeLambda1,2.0,2.0,0.0,1.0,3
ood_primary,n_train,150,E,FixedRidgeLambda1,1.75,2.0,0.3333333333333333,1.0,12
ood_primary,n_train,150,F,FixedRidgeLambda1,1.6666666666666667,1.0,0.6,0.9333333333333333,15
ood_primary,n_train,151,F,FixedRidgeLambda1,3.4444444444444446,5.0,0.3333333333333333,0.4444444444444444,9
ood_primary,n_train,151,H,FixedRidgeLambda1,1.5,1.5,0.5,1.0,6
ood_primary,n_train,152,G,FixedRidgeLambda1,4.333333333333333,5.0,0.0,0.3333333333333333,3
ood_primary,n_train,152,H,FixedRidgeLambda1,1.6666666666666667,1.5,0.5,1.0,6
ood_primary,n_train,153,E,FixedRidgeLambda1,1.7777777777777777,2.0,0.3333333333333333,1.0,9
ood_primary,n_train,153,F,FixedRidgeLambda1,1.0,1.0,1.0,1.0,3
ood_primary,n_train,153,G,FixedRidgeLambda1,3.0,3.5,0.16666666666666666,0.5,6
ood_primary,n_train,153,H,FixedRidgeLambda1,2.0,2.0,0.16666666666666666,1.0,6
ood_primary,n_train,154,E,FixedRidgeLambda1,2.0,2.0,0.0,1.0,6
ood_primary,n_train,154,F,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,154,G,FixedRidgeLambda1,4.333333333333333,4.5,0.0,0.3333333333333333,6
ood_primary,n_train,154,H,FixedRidgeLambda1,2.0,2.0,0.0,1.0,6
ood_primary,n_train,155,E,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,155,F,FixedRidgeLambda1,1.5,1.5,0.5,1.0,6
ood_primary,n_train,155,G,FixedRidgeLambda1,3.5,3.0,0.0,0.5833333333333334,12
ood_primary,n_train,155,H,FixedRidgeLambda1,2.0,2.0,0.3333333333333333,1.0,6
ood_primary,n_train,156,E,FixedRidgeLambda1,1.1666666666666667,1.0,0.8333333333333334,1.0,6
ood_primary,n_train,156,F,FixedRidgeLambda1,2.3333333333333335,2.5,0.3333333333333333,0.8333333333333334,6
ood_primary,n_train,156,H,FixedRidgeLambda1,2.0,2.0,0.0,1.0,3
ood_primary,n_train,157,E,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,6
ood_primary,n_train,157,F,FixedRidgeLambda1,1.8333333333333333,2.0,0.3333333333333333,1.0,6
ood_primary,n_train,157,G,FixedRidgeLambda1,2.6666666666666665,2.5,0.16666666666666666,0.8333333333333334,6
ood_primary,n_train,157,H,FixedRidgeLambda1,1.5,1.5,0.5,1.0,6
ood_primary,n_train,158,E,FixedRidgeLambda1,1.6666666666666667,2.0,0.4166666666666667,1.0,12
ood_primary,n_train,158,F,FixedRidgeLambda1,1.25,1.0,0.8333333333333334,1.0,12
ood_primary,n_train,158,G,FixedRidgeLambda1,3.6666666666666665,4.0,0.1111111111111111,0.4444444444444444,9
ood_primary,n_train,158,H,FixedRidgeLambda1,1.8333333333333333,2.0,0.16666666666666666,1.0,6
ood_primary,n_train,159,E,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,159,F,FixedRidgeLambda1,1.6666666666666667,1.5,0.5,1.0,6
ood_primary,n_train,159,G,FixedRidgeLambda1,3.0,2.5,0.16666666666666666,0.6666666666666666,6
ood_primary,n_train,160,E,FixedRidgeLambda1,2.3333333333333335,2.0,0.0,1.0,3
ood_primary,n_train,160,G,FixedRidgeLambda1,4.333333333333333,4.0,0.0,0.0,3
ood_primary,n_train,161,G,FixedRidgeLambda1,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,161,H,FixedRidgeLambda1,1.25,1.0,0.75,1.0,12
ood_primary,n_train,162,E,FixedRidgeLambda1,1.0,1.0,1.0,1.0,3
ood_primary,n_train,162,F,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,9
ood_primary,n_train,162,G,FixedRidgeLambda1,3.2666666666666666,3.0,0.06666666666666667,0.8,15
ood_primary,n_train,162,H,FixedRidgeLambda1,1.6666666666666667,2.0,0.4444444444444444,1.0,9
ood_primary,n_train,163,E,FixedRidgeLambda1,1.6666666666666667,1.0,0.5555555555555556,1.0,9
ood_primary,n_train,163,F,FixedRidgeLambda1,1.8888888888888888,2.0,0.2222222222222222,1.0,9
ood_primary,n_train,163,G,FixedRidgeLambda1,2.6666666666666665,2.0,0.3333333333333333,0.7777777777777778,9
ood_primary,n_train,163,H,FixedRidgeLambda1,2.0,2.0,0.0,1.0,6
ood_primary,n_train,164,E,FixedRidgeLambda1,1.7777777777777777,2.0,0.3333333333333333,1.0,9
ood_primary,n_train,164,F,FixedRidgeLambda1,1.0,1.0,1.0,1.0,3
ood_primary,n_train,164,H,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,6
ood_primary,n_train,165,G,FixedRidgeLambda1,3.6666666666666665,3.0,0.0,0.6666666666666666,6
ood_primary,n_train,165,H,FixedRidgeLambda1,2.0,2.0,0.0,1.0,3
ood_primary,n_train,166,E,FixedRidgeLambda1,1.6,2.0,0.4,1.0,15
ood_primary,n_train,166,F,FixedRidgeLambda1,1.5,1.5,0.5,1.0,6
ood_primary,n_train,166,G,FixedRidgeLambda1,2.0,2.0,0.0,1.0,3
ood_primary,n_train,166,H,FixedRidgeLambda1,1.7777777777777777,2.0,0.3333333333333333,1.0,9
ood_primary,n_train,167,E,FixedRidgeLambda1,2.0,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,167,G,FixedRidgeLambda1,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,167,H,FixedRidgeLambda1,1.0,1.0,1.0,1.0,3
ood_primary,n_train,168,F,FixedRidgeLambda1,1.0,1.0,1.0,1.0,3
ood_primary,n_train,168,G,FixedRidgeLambda1,1.6666666666666667,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,169,E,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,169,F,FixedRidgeLambda1,1.0,1.0,1.0,1.0,3
ood_primary,n_train,169,G,FixedRidgeLambda1,2.6666666666666665,3.0,0.0,1.0,3
ood_primary,n_train,169,H,FixedRidgeLambda1,1.4444444444444444,1.0,0.5555555555555556,1.0,9
ood_primary,n_train,170,E,FixedRidgeLambda1,2.6666666666666665,3.0,0.0,1.0,3
ood_primary,n_train,170,G,FixedRidgeLambda1,2.1666666666666665,2.0,0.3333333333333333,0.8333333333333334,6
ood_primary,n_train,170,H,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,171,F,FixedRidgeLambda1,1.8888888888888888,2.0,0.3333333333333333,1.0,9
ood_primary,n_train,172,F,FixedRidgeLambda1,2.0,2.0,0.0,1.0,3
ood_primary,n_train,172,H,FixedRidgeLambda1,1.8333333333333333,2.0,0.3333333333333333,1.0,6
ood_primary,n_train,174,E,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,174,F,FixedRidgeLambda1,1.5,1.5,0.5,1.0,6
ood_primary,n_train,174,G,FixedRidgeLambda1,2.0,2.0,0.0,1.0,3
ood_primary,n_train,174,H,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,175,G,FixedRidgeLambda1,3.3333333333333335,3.0,0.0,0.6666666666666666,3
ood_primary,n_train,176,H,FixedRidgeLambda1,2.6666666666666665,3.0,0.0,1.0,3
ood_primary,n_train,177,F,FixedRidgeLambda1,1.6666666666666667,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,178,E,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,178,F,FixedRidgeLambda1,1.5,1.5,0.5,1.0,6
ood_primary,n_train,179,G,FixedRidgeLambda1,4.333333333333333,4.0,0.0,0.3333333333333333,3
ood_primary,n_train,179,H,FixedRidgeLambda1,2.1666666666666665,2.0,0.16666666666666666,1.0,6
ood_primary,n_train,180,E,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,181,E,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,182,F,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,3
ood_primary,n_train,182,G,FixedRidgeLambda1,4.0,4.0,0.0,0.3333333333333333,3
ood_primary,n_train,182,H,FixedRidgeLambda1,1.3333333333333333,1.0,0.6666666666666666,1.0,3
ood_primary,n_train,185,G,FixedRidgeLambda1,2.6666666666666665,3.0,0.0,1.0,3
ood_primary,n_train,186,E,FixedRidgeLambda1,1.0,1.0,1.0,1.0,3
ood_primary,n_train,189,G,FixedRidgeLambda1,1.6666666666666667,2.0,0.3333333333333333,1.0,3
ood_primary,noise_features,0,E,KNN,8.506666666666666,9.0,0.0,0.0,150
ood_primary,noise_features,0,F,KNN,7.38,7.0,0.0,0.02,150
ood_primary,noise_features,0,G,KNN,6.666666666666667,7.0,0.0,0.12,150
ood_primary,noise_features,0,H,KNN,8.906666666666666,9.0,0.0,0.0,150
ood_primary,n_train,131,G,KNN,5.5,5.0,0.0,0.16666666666666666,6
ood_primary,n_train,134,E,KNN,6.0,6.0,0.0,0.0,3
ood_primary,n_train,134,F,KNN,6.0,6.0,0.0,0.0,3
ood_primary,n_train,137,F,KNN,10.0,10.0,0.0,0.0,3
ood_primary,n_train,137,H,KNN,8.333333333333334,8.0,0.0,0.0,3
ood_primary,n_train,138,E,KNN,8.333333333333334,9.0,0.0,0.0,6
ood_primary,n_train,139,H,KNN,6.666666666666667,7.0,0.0,0.0,3
ood_primary,n_train,140,G,KNN,8.0,8.0,0.0,0.0,3
ood_primary,n_train,142,F,KNN,7.0,7.0,0.0,0.0,3
ood_primary,n_train,142,G,KNN,8.333333333333334,8.0,0.0,0.0,3
ood_primary,n_train,142,H,KNN,8.166666666666666,8.5,0.0,0.0,6
ood_primary,n_train,143,E,KNN,8.0,8.0,0.0,0.0,3
ood_primary,n_train,143,G,KNN,7.666666666666667,7.0,0.0,0.0,3
ood_primary,n_train,144,G,KNN,6.0,5.0,0.0,0.0,3
ood_primary,n_train,145,F,KNN,9.0,9.0,0.0,0.0,3
ood_primary,n_train,145,G,KNN,9.0,9.0,0.0,0.0,3
ood_primary,n_train,145,H,KNN,9.333333333333334,9.0,0.0,0.0,3
ood_primary,n_train,146,E,KNN,9.5,10.0,0.0,0.0,6
ood_primary,n_train,146,F,KNN,7.333333333333333,7.0,0.0,0.0,3
ood_primary,n_train,146,H,KNN,9.0,9.0,0.0,0.0,3
ood_primary,n_train,147,E,KNN,8.166666666666666,8.0,0.0,0.0,6
ood_primary,n_train,147,F,KNN,8.333333333333334,9.0,0.0,0.0,3
ood_primary,n_train,147,G,KNN,8.333333333333334,8.0,0.0,0.0,3
ood_primary,n_train,148,E,KNN,7.333333333333333,8.0,0.0,0.0,3
ood_primary,n_train,148,G,KNN,6.666666666666667,7.0,0.0,0.0,3
ood_primary,n_train,148,H,KNN,9.5,10.0,0.0,0.0,6
ood_primary,n_train,149,E,KNN,9.0,9.0,0.0,0.0,3
ood_primary,n_train,149,F,KNN,7.0,7.0,0.0,0.0,3
ood_primary,n_train,149,G,KNN,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,150,E,KNN,7.833333333333333,7.5,0.0,0.0,12
ood_primary,n_train,150,F,KNN,7.333333333333333,7.0,0.0,0.0,15
ood_primary,n_train,151,F,KNN,5.777777777777778,6.0,0.0,0.2222222222222222,9
ood_primary,n_train,151,H,KNN,8.5,8.5,0.0,0.0,6
ood_primary,n_train,152,G,KNN,8.666666666666666,9.0,0.0,0.0,3
ood_primary,n_train,152,H,KNN,9.166666666666666,9.5,0.0,0.0,6
ood_primary,n_train,153,E,KNN,8.444444444444445,9.0,0.0,0.0,9
ood_primary,n_train,153,F,KNN,6.0,7.0,0.0,0.0,3
ood_primary,n_train,153,G,KNN,6.166666666666667,6.5,0.0,0.16666666666666666,6
ood_primary,n_train,153,H,KNN,9.333333333333334,10.0,0.0,0.0,6
ood_primary,n_train,154,E,KNN,8.166666666666666,8.0,0.0,0.0,6
ood_primary,n_train,154,F,KNN,6.666666666666667,7.0,0.0,0.0,3
ood_primary,n_train,154,G,KNN,4.0,3.5,0.0,0.5,6
ood_primary,n_train,154,H,KNN,9.166666666666666,9.5,0.0,0.0,6
ood_primary,n_train,155,E,KNN,9.0,9.0,0.0,0.0,3
ood_primary,n_train,155,F,KNN,8.333333333333334,9.5,0.0,0.0,6
ood_primary,n_train,155,G,KNN,5.5,7.0,0.0,0.25,12
ood_primary,n_train,155,H,KNN,10.0,10.0,0.0,0.0,6
ood_primary,n_train,156,E,KNN,9.166666666666666,9.5,0.0,0.0,6
ood_primary,n_train,156,F,KNN,6.333333333333333,6.5,0.0,0.0,6
ood_primary,n_train,156,H,KNN,9.333333333333334,9.0,0.0,0.0,3
ood_primary,n_train,157,E,KNN,8.5,8.5,0.0,0.0,6
ood_primary,n_train,157,F,KNN,9.666666666666666,10.0,0.0,0.0,6
ood_primary,n_train,157,G,KNN,6.5,7.0,0.0,0.16666666666666666,6
ood_primary,n_train,157,H,KNN,9.0,9.0,0.0,0.0,6
ood_primary,n_train,158,E,KNN,8.75,9.0,0.0,0.0,12
ood_primary,n_train,158,F,KNN,8.0,8.5,0.0,0.0,12
ood_primary,n_train,158,G,KNN,8.0,8.0,0.0,0.0,9
ood_primary,n_train,158,H,KNN,9.166666666666666,9.0,0.0,0.0,6
ood_primary,n_train,159,E,KNN,6.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,159,F,KNN,8.333333333333334,8.5,0.0,0.0,6
